look	l--- 見える、見る
secret	秘密
section	(売り場などの)コーナー、一部分、区分、部門
sentence	文
stamp	切手
state	(アメリカなどの)州、国家
tool	(手で使う)道具
trick	芸当、いたずら
typhoon	台風
view	ながめ、景色
village	村
wood	木材、森
damage	被害、損害
enemy	敵
importance	重要性
resort	行楽地
skill	技能、技術
speed	速度、スピード
asleep	眠って、眠り込んで
common	よくある、共通の
daily	日常の、毎日の
female	雌の、女性の
friendly	親しみやすい、親切な
homesick	ホームシックの、故郷［家］を恋しがる
human	人間の
lastest	最新の
onely	一人ぼっちの、寂しい
natural	自然の
neccessary	必要な
useful	役に立つ
wild	野生の
alive	生きている
huge	巨大な
low	低い
male	オスの、男性の
polite	礼儀正しい
serious	重大な、まじめな
southern	南の、南部の
especially	特に
somewhere	どかに［へ］
suddenly	突然
toward	～のほうへ、～に向かって
although	...だけれども
nothing	何も～ない
want to do	～したい
like to do	～するのが好きである
have to do	～しなければならない
like doing	～するのが好きである
enjoy doing	～することを楽しむ
look forward to doing [A]	～するのを[Aを]楽しみに待つ
need to do	～する必要がある
take A to B	AをBに連れていく、AをBに持っていく
how long ～	どのくらいの時間～
want A to do	Aに～してほしい（と思う）
be good at ～	～がじょうず（得意）である
go out (for ～)	出かける
start doing	～し始める
after school	放課後に
go and do	～しに行く
grow up (in ～)	（～で）成長する、（～で）大人になる
this morning	今朝
be popular with A	Aに人気がある
a lot of ～	たくさんの～
be able to do	～することができる
from A to B	AからBまで
a little	少し
be late for ～	～に遅刻する
how to do	～の仕方、～する方法
look for ～	～を探す
a few ～	少数の～、2,3の～
ask A to do	Aに～するように頼む
be ready for ～	～の準備ができている
move to ～	～に引っ越す
decide to do	～することに決める
in front of ～	～の前で（に）
one of ～	～の1人（1つ）
plan to do	～するつもりである
～ year(s) old	～歳
help A with B	AのBを手伝う
by oneself	1人で、独力で
forget to do	～するのを忘れる
in the morning [afternoon / evening]	午前（中）[午後/夕方] に
take part in ～	～に参加する
worry about ～	～のことを心配する
go home	家に帰る
how often ～	どのくらいの頻度で～
listen to ～	～を聞く
make A of B	AをBで作る
stay home	家にいる
tell A to do	Aに～するように言う
each other	お互い
far away	遠くに
get off (～)	降りる
get up	起きる
have lunch	昼食をとる
more than ～	～を超える、～より多い
pay (A) for B	Bのために(Aを)支払う
run away	逃げる、走り去る
try on ～	～を試着する
turn off ～	を消す、を止める
wit for ～	～を待つ
because of ～	～のために
deo well (on ～)	（～で）うまくいく、（～で）よい結果を出す
one day	いつか、ある日
too A to do	とてもA（形容詞・副詞）なので～できない
all over the world	世界中（で）
arrive in [at] ～	～に着く、～に到着する
at first	最初は
be afraid of ～	～を恐れる、～を怖がる
be sick in bed	病気で寝ている
get home	帰宅する
invite A to B	AをBに招待する
lots of ～	たくさんの～
on business	仕事で
stay at ～	～に泊まる
want to be [become] ～	～になりたい（と思う）
all day (long)	１日中
both A and B	AもＢも両方とも
look like ～	～に似ている、～のように見える
put on ～	～を着る、～を身に着ける
speak to ～	～に話しかける
stay in ～	～に滞在する[泊まる]
～than any other A	他のどのAよりも～
travel to ～	～に行く、～へ旅行する
a pair of ～	1組[足、対]の～
