believe	〜を信じる
anticipate	を予期する、を楽しみに待つ
confront	に立ちはだかる、に立ち向かう
undergo	を経験する、を受ける
exceed	を超える、上回る
overwhelm	をまいらせる、を圧倒する
shoot	を撃つ、を発射する、を撮影する、をシュートする
murder	を殺害する
rob	から奪う、を襲う
deprive	から奪う
rid	から取り除く
interrupt	をさえぎる、を中断させる
interfere	邪魔をする、干渉する
bully	をいじめる
defend	を守る
rescue	を救う
accuse	を非難する、を告訴する
sue	を訴える
wander	ぶらつく、歩き回る
chase	を追いかける
arrest	を逮捕する
submit	を提出する、服従する、屈する
punish	を罰する
resolve	を解決する、を決意する
justify	を正当化する
restore	を戻す、修復する
modify	を修正する
impose	を押しつける、を課す
compose	を構成する、を創作する
classify	を分類する
substitute	を代わりに使う
shrink	縮む、縮小する、を減らす
lean	寄りかかる、傾く、を傾ける
fold	を折り畳む、を組む
load	を積む
pour	を注ぐ、流れ出る、激しく降る
float	浮かぶ、を浮かべる
shine	輝く、を磨いて光らせる
editor	編集者
poetry	詩
usage	使い方、使用
sector	部門、分野、地域
span	期間、全長
literacy	読み書き能力、知識
symptom	症状、兆候
phase	段階、面
surgery	手術、外科
virus	ウイルス
poison	毒、有害なもの
protein	タンパク質
liquid	液体
oxygen	酸素
globe	世界、地球儀、球体
pole	極、棒
valley	谷
conservation	保護、保存
channel	伝達経路、チャンネル、水路
glacier	氷河
pioneer	先駆者、開拓者
prospect	見込み、可能性、将来性
enthusiasm	熱狂、熱中、熱心
passion	情熱、熱中
fortune	財産、幸運
obstacle	障害
prejudice	偏見、先入観
justice	正義、公正、司法
opponent	相手、敵、反対者
sacrifice	犠牲、いけにえ
fault	責任、欠点
prison	刑務所
shelter	避難所、収容所、住まい
committee	委員会、委員
ritual	儀式、習慣的行為
mature	大人になった、熟した
moderate	適度な、並みの、穏やかな
neutral	中立の
optimistic	楽観的な
pessimistic	悲観的な
radical	根本的な、過激な
rough	粗い、大まかな、粗野な、荒っぽい
smooth	滑らかな、円滑な
fluent	流ちょうな、堪能な
casual	形式ばらない、打ち解けた
instant	即時の
incredible	信じられない
genuine	本物の
precious	貴重な
prominent	重要な、著名な、突き出ている
blind	目が見えない、気づかない
deaf	耳が聞こえない、聞こうとしない
harsh	厳しい；容赦ない（
prompt	迅速な、機敏な
inevitable	避けられない
marine	海洋の
tropical	熱帯の
Arctic	北極
forecast	を予報する、を予測する
speculate	思索する、推測する、投機する
bet	きっと...だと思う、賭ける
quote	引用する
consult	に意見を求める、を調べる、相談する
dispute	に異議を唱える、論争する
accumulate	を集める、蓄積する、たまる
grasp	をぎゅっとつかむ、を理解する
grip	をしっかり握る
seize	をつかむ、を素早く捕らえる
comprehend	を理解する
constitute	を構成する
reinforce	を強化する
resort	訴える
donate	を寄付する、を提供する
obey	に従う
dedicate	をささげる
transmit	を伝える、を送る
equip	に装備する
bind	を縛る、を結び付ける
pose	を投げかける、姿勢をとる
pause	休止する、合い間を置く
hesitate	ためらう、躊躇する
split	を分割する、を分裂させる、縦に割れる
bend	を曲げる、曲がる、を従わせる
tap	を軽くたたく、タップする、を活用する
boil	を沸かす、をゆでる、沸騰する
bow	おじぎをする
conceal	を隠す、を秘密にする
dispose	を処分する
cheat	をだます、カンニングをする
distract	をそらす
exclude	を締め出す、を除外する
astonish	を驚かせる
thrill	をわくわくさせる
leap	跳ぶ
postpone	を延期する
dismiss	を解雇する、を解散させる、を退ける
resign	辞める
withdraw	退く、を下ろす、を取りやめる、を撤回する
fade	消えていく、あせる
vanish	消え失せる、見えなくなる
continent	大陸
geography	地理、地理学
ecology	生態系、生態学、環境保護
inhabitant	住民、生息動物
suburb	郊外
furniture	家具
refrigerator	冷蔵庫
garbage	ごみ
trash	ごみ
litter	（公共の場での散らかった）ごみ
trace	名残、跡、わずかな量
row	（横の）列
core	核心、中心部、芯
orbit	軌道
galaxy	銀河、銀河系、華やかな集まり
myth	神話、通説
faith	信頼、信仰
wisdom	知恵、賢いこと
obligation	義務
privilege	特典、特権、栄誉
discrimination	差別、識別
ambition	願望、野望、野心
illusion	錯覚、幻想
instinct	本能
shame	残念なこと、恥、不名誉
humor	ユーモア
courage	勇気
sympathy	同情、共感
tragedy	悲惨な出来事、悲劇
fate	運命
destiny	運命
abuse	乱用、虐待
wound	傷、痛手
fever	熱、発熱、熱狂
infection	伝染病、伝染、感染
brave	勇敢な
brilliant	すばらしい、光り輝く、才能にあふれた
gentle	優しい、穏やかな
noble	高貴な、気高い
royal	王室の
sacred	神聖な
holy	神聖な、信心深い
decent	きちんとした、かなりの、上品な
grateful	感謝している
fond	好む
selfish	自分勝手な
awkward	厄介な、ぎこちない、気まずい
awful	ひどい、恐ろしい
ultimate	最終的な、究極の
dynamic	活動的な、精力的な
tremendous	とてつもない
abundant	豊富な、富む
dull	退屈な、鈍い
urgent	緊急の
spare	余分の、予備の
tight	きつい、しっかりした、詰まった、不足した
shallow	浅い、浅はかな
superficial	浅はかな、表面的な
whisper	ささやく
yell	叫ぶ
scream	叫び声を上げる
nod	うなずく、うとうとする
swallow	を飲み込む
yawn	あくびをする
cough	せきをする
hug	を抱き締める
sweep	掃除する、を押し流す、を一掃する
polish	を磨く
decorate	を装飾する
shed	を流す、を当てる
drag	を引きずる、を無理やり連れて行く
spoil	を台無しにする、を甘やかしてだめにする
burst	破裂する、急に始める
explode	爆発する
compromise	妥協する
exaggerate	を誇張する
exploit	を搾取する、を開発する
utilize	を利用する
irritate	をいらいらさせる
insult	を侮辱する
deceive	をだます
violate	に違反する、を侵害する
disgust	に嫌悪感を持たせる
endure	を我慢する、に耐える
tolerate	に耐える、を大目に見る
suspend	を一時的に中止する、をつるす
cease	をやめる、なくなる、終わる
appoint	を任命する、を指定する
undertake	を引き受ける、に着手する
overtake	に追いつく、を追い抜く、を襲う
proceed	移る、続行する、続けて
commute	通勤する、通学する
