impress	（受身形で）感心する，感銘を受ける〈with, by ～に〉，に（良い）印象を与える
injure	を傷つける
judge	を判断する，裁く
lift	を持ち上げる（⇔ lower）
locate	（受身形で）位置する，を配置する，を設ける
measure	を測定する
memorize	を暗記する，を記憶する（≒ learn ～ by heart）
park	を駐車する
pour	を注ぐ
press	（を）押す，（に）アイロンをかける
prevent	を防ぐ，を妨げる
provide	に供給する〈with ～を〉
pull	（を）引く（⇔ push）
push	（を）押す（⇔ pull）
recycle	（を）再生利用する
reduce	を減らす，減る
remove	を取り除く，を移動させる
repeat	復唱する，（を）繰り返す
replace	を取り換える〈with ～と〉
require	を必要とする
retire	退く〈from ～から，to ～へ〉
ring	鳴る，を鳴らす
scream	叫び声を上げる〈for ～を求めて，at ～に向かって〉
shout	（を）叫ぶ，（を）大声で言う
stare	じっと見つめる〈at ～を〉
suggest	を提案する〈doing ～すること〉，を暗示する
survive	（を）生き残る
touch	（に）触れる，を感動させる
trap	を閉じ込める，（動物）をわなで捕らえる
treat	を取り扱う，を治療する
trust	を信用［信頼］する
volunteer	ボランティアをする，（を）自発的に引き受ける
act	（を）演じる，行動する
admit	（入場・入学など）を認める〈to ～への〉，を（事実・妥当だと）認める（⇔ deny）
advertise	（を）宣伝する
afford	（時間的・経済的に）を持つ［する］余裕がある
announce	を発表する
apologize	謝る〈to ～に，for ～のことで〉
apply	申し込む〈for ～を〉，当てはまる〈to ～に〉
approach	に接近する（≒ come up to）
argue	と主張する，言い争う
attract	（受身形で）魅了される〈to, by ～に〉，の心をとらえる，（注意・興味など）を引く
award	（賞など）を与える〈to ～に〉
bark	（犬などが）ほえる〈at ～に〉
behave	振る舞う，行動する
breathe	呼吸する
brush	にブラシをかける
burn	燃える，を燃やす
appointment	（面会などの）予約，約束，任命
ballet	（しばしば the ～）バレエ
capital	首都，資本，大文字
ceremony	儀式
chef	シェフ，料理長，料理人
climate	気候
coast	海岸，沿岸
commercial	コマーシャル
credit	クレジット，信用
decoration	飾り，装飾
dormitory	寮，寄宿舎
exhibition	展覧会，展示会
experiment	実験〈on ～の〉
factory	工場
freedom	自由（≒ liberty）
height	高さ
hero	英雄，（男性の）主人公（⇔ heroine）
image	イメージ，映像，肖像
insect	虫，昆虫
journey	（陸路の）旅行（≒ travel）
knowledge	知識
level	水準，レベル
medicine	薬，医学
memory	思い出，記憶力
noise	騒音
plastic	プラスチック
police	（the ～）警察
principal	校長
sight	視力，見ること，光景
success	成功（⇔ failure）
temperature	気温，温度，体温
tournament	トーナメント，勝ち抜き試合
variety	（a ～）いろいろ，多様性
ability	能力
agreement	合意（⇔ disagreement），協定
athlete	運動選手
author	作家（≒ writer），著者
backyard	裏庭
bacteria	バクテリア，細菌（類）
beauty	美，美人
behavior	振る舞い，行動
blossom	（果樹などの）花
carpenter	大工
cash	現金
charity	慈善（事業）
communication	コミュニケーション，伝達
conference	（公式の）会議，協議会
convenience	便利（⇔ inconvenience）
crop	作物，収穫高
difficulty	困難〈（in） doing ～することの〉（⇔ ease）
direction	方向，（～s）指示
discount	割引，値引
disease	病気（≒ illness, sickness）
education	教育
effect	影響（≒ influence），結果（⇔ cause）
enemy	敵（⇔ friend）
energy	エネルギー，精力
engine	エンジン
engineer	エンジニア，技術者
entrance	入口（⇔ exit），入学
equipment	（集合的に）用具，設備，装置
exercise	（健康のための）運動，練習，練習問題
explorer	探検家
fashion	流行，はやり，ファッション
figure	人物，形，数字
forecast	予報
furniture	（集合的に）家具
gallery	美術館，画廊
habit	癖，（個人的な）習慣
harvest	（作物の）収穫
horror	恐怖
housework	家事
instruction	（通例 ～s）指示，訓練
instrument	器具，道具
issue	（雑誌などの）第～号［刷］，発行，問題（点）
item	品目，項目
microwave	電子レンジ（＝ microwave oven）
movement	運動，動き
nation	国家，（the ～）国民
note	覚え書き，注釈
officer	警官，役人
package	（小さな）包み
photographer	写真家，カメラマン
planet	惑星（⇔ star 恒星）
population	人口
position	位置，地位
product	製品，産物，結果
puppy	子犬
receipt	レシート，領収書（⇔ bill），受領
recipe	調理法，レシピ
resort	リゾート，保養地，行楽地
role	役，役割
row	列
rug	敷物，じゅうたん，ラグ
sailor	船乗り
sense	感覚，意味
shortage	不足，欠乏
signal	信号，合図
silence	静寂，沈黙
site	用地，ウェブサイト
skin	皮，肌
soil	土壌
soldier	兵士，（陸軍の）軍人
spirit	（通例 ～s）気分，精神（⇔ body），霊
spray	スプレー
state	（ふつう S-）州，（しばしば S-）国家
suggestion	提案，暗示
sunrise	日の出（⇔ sunset）
technique	技術，技法，技巧
track	線路，走路，（通例 ～s）通った跡
voyage	船旅，航海
wallet	（二つ折りの）札入れ，財布
weight	重さ，体重
adventure	冒険
amateur	アマチュア（⇔ professional），素人
ancestor	祖先（⇔ descendant）
aquarium	水族館，水槽
argument	口論，論争，主張
assistant	助手，補佐
atmosphere	雰囲気，（the ～）大気
attendant	（会社・ホテルなどの）サービス係，付添い人
butterfly	チョウ
calcium	カルシウム
cattle	（集合的に）牛，畜牛
celebration	祝賀（会）
charge	（サービスに対する）料金
chemistry	化学
childhood	子どものころ，幼児期
citizen	市民，国民
clinic	クリニック，診療所
conversation	会話，話すこと
corporation	大企業，株式会社（＝ corp., Corp.）
courage	勇気
crime	犯罪
crocodile	ワニ，クロコダイル（熱帯産の大型ワニ）
crowd	（集合的に）群衆
danger	危険（⇔ safety）
data	データ，資料
death	死（⇔ birth）
decision	決定
diet	ダイエット，日常の食事
edge	縁（ふち），へり，刃
electricity	電気
emergency	緊急事態
emotion	感情（≒ feeling）
euro	ユーロ（EU諸国の共通通貨単位）
examination	試験（＝ exam）
